Desk,Commodity,Trader Name,Trader Email,Quantity
D-4563,Wheat,Catherine Lane,ovo@tek.cm,"71,509"
D-5809,Soybeans,Harriett Mills,sid@pupfe.bd,"73,347"
D-4388,Soybean Oil,Sean Davis,gab@hajuwot.pg,"32,035"
D-3434,Soybeans,Don Keller,dewjusiz@lubmaf.lk,"67,457"
D-5030,Corn,Dustin Cook,zil@wuugbu.nc,"50,368"
D-9923,Cotton No.2,Scott Cortez,kokfunvor@sieci.fo,"78,882"
D-7335,Milk,Olga Daniel,ruh@cif.ga,"41,075"
D-4497,Soybean Meal,Winnie Thompson,ta@ocmacic.gs,"91,134"
D-4463,Adzuki bean,Nelle Curtis,rifuf@copwefsi.td,"46,117"
D-3762,Corn,Ruby Copeland,bo@foil.ca,"88,338"
